Date(D-M-Y),PROJECT,Decription,Type,Qty,Rate,Amount,Inventory,ACCOUNT HEAD,Memo / Note/ Comments,Vendor Name
18/12/2025,Kuddus Nur's Heaven,150ft aggregrate ,Credit,150,120,18000,150,Aggregate Purchase,,
18/12/2025,Kuddus Nur's Heaven,aggregreate  load & driver,Credit,,,1700,,Transportation/Carrying Cost,Not kaji,KAJI MOHAMMAD
18/12/2025,Kuddus Nur's Heaven,3000 pc Bricks + Load Unload + Driver ,Credit,,,35100,,Bricks Purchase,,
18/12/2025,Kuddus Nur's Heaven,Belal Hossain ,Debit,,,100000,,Apartment Sales,,
20/12/2025,Kuddus Nur's Heaven,sand 21-12-25,Credit,,,4600,360,Sand Purchase,,Bismillah Suppliers
21/12/2025,Kuddus Nur's Heaven,Stone 5.4 Ton,Credit,4250,5.4,23010,,Stone Purchase,,SS Trading 
21/12/2025,Kuddus Nur's Heaven,Stone Carring Cost ,Credit,,,1560,,Transportation/Carrying Cost,By Bkash 01832582889,KAJI MOHAMMAD
26/12/2025,Kuddus Nur's Heaven,cemecial 5 liter,Credit,,,18000,,Cement Purchase,,
26/12/2025,Kuddus Nur's Heaven,Steel 3ml 1tone ,Credit,,,,,Steel/Rod Purchase,,
27/12/2025,Kuddus Nur's Heaven,sand,Credit,320,,4600,,Sand Purchase,PAID,Bismillah Suppliers
01/01/2026,Kuddus Nur's Heaven,২০ mm- ২ ton ১৬ mm - ২ ton ১০ mm ১ ton  = 5 ton ,Credit,5000,88.6,443000,,Steel/Rod Purchase,From RASEL - BY KSRM Payment the rate is assumtion not fixed,
01/01/2026,Kuddus Nur's Heaven,5 ton Stone,Credit,4.89,,21260,,Stone Purchase,SS Trading Stone 260012083254,SS Trading 
03/01/2026,Kuddus Nur's Heaven,Mati shift and carring cost,Credit,,,7650,,Transportation/Carrying Cost,,
04/01/2026,Kuddus Nur's Heaven,Mati shift and carring cost,Credit,,,7650,,Transportation/Carrying Cost,,
04/01/2026,Kuddus Nur's Heaven,Constraction Nurul islam - CASH ,Credit,,,50000,,Contractor Bill,,
08/01/2026,Kuddus Nur's Heaven,5 stone ,Credit,,,20760,,Stone Purchase,,SS Trading 
08/01/2026,Kuddus Nur's Heaven,1 gari Balu,Credit,320,,4600,,Sand Purchase,UNPAID,Bismillah Suppliers
12/01/2026,Kuddus Nur's Heaven,2 round kaji,Credit,2,1500,3000,,Transportation/Carrying Cost,260123095092,KAJI MOHAMMAD
15/01/2026,Kuddus Nur's Heaven,pamp fix ,Credit,,,750,,Bonus,,
17/01/2026,Kuddus Nur's Heaven,5 ton stone,Credit,4200,,2100,,Stone Purchase,103842,SS Trading 
17/01/2026,Kuddus Nur's Heaven,Stone Carring Cost ,Credit,1500,1,1500,,Transportation/Carrying Cost,,
19/01/2026,Kuddus Nur's Heaven,5 ton stone,Credit,4200,5,21000,,Stone Purchase,103127,SS Trading 
19/01/2026,Kuddus Nur's Heaven,Stone Carring Cost ,Credit,1500,1,1500,,Transportation/Carrying Cost,,
26/01/2026,Kuddus Nur's Heaven,5 ton stone,Credit,4200,5,21000,,Stone Purchase,106285,SS Trading 
22/01/2026,Kuddus Nur's Heaven,96 kg 800 12mm Rod - 7750 + carring Cost 250 - GPH Ispat 600,Credit,96.8,80,8000,,Steel/Rod Purchase,"1340 , M/S, Tanvir Enterprise",
27/01/2026,Kuddus Nur's Heaven,25 Bag Daimond Cement + Carring Cost Load/Unload,Credit,500,25,12515,,Cement Purchase,Mina Corporation ,
30/01/2026,Kuddus Nur's Heaven,5 ton Stone,Credit,5,,21000,,Stone Purchase,111402,SS Trading 
31/01/2026,Kuddus Nur's Heaven,Electric Meter ,Credit,,,3450,,"Utilities (Electricity, Internet)",6948-1554-8960-5301-3559 11Number,
09/02/2026,Kuddus Nur's Heaven,6 ton Stone ,Credit,6,4250,26000,,Stone Purchase,,SS Trading 
15/02/2026,Kuddus Nur's Heaven,100 ft aggreatea  with carring cost,Credit,100,120,13400,,Aggregate Purchase,Allauddin - Bismillah Enterprise,
15/02/2026,Kuddus Nur's Heaven,Balu 300 ft 3 times,Credit,4400,3,13200,,Sand Purchase,Bismillah ,Bismillah Suppliers
14/02/2026,Kuddus Nur's Heaven,stone 5 ton,Credit,,,21100,,Stone Purchase,111135,SS Trading 
15/02/2026,Kuddus Nur's Heaven,Carring Cost 6 but we paid for 5 times,Credit,5,1500,7500,,Transportation/Carrying Cost,Kaji ,KAJI MOHAMMAD
22/02/2026,Kuddus Nur's Heaven,10 ton Stone,Credit,10,4550,45500,,Stone Purchase,"101,249,101,241",
15/02/2026,Kuddus Nur's Heaven,"Rod -20MM 36 piece, 12mm 4 piece + 603 + 2400 delivery and unload",Credit,2462,83.5,205577,,Steel/Rod Purchase,"7525 delivery slip, 7170 memo",M/s Aziz Trading
14/02/2026,Kuddus Nur's Heaven,100 Bag Cement,Credit,100,490,49000,,Cement Purchase,7170 memo.,M/s Aziz Trading
14/02/2026,Kuddus Nur's Heaven,400FT stone Bhanga as Aggrerate ,Credit,400,35,14500,,Aggregate Purchase,,Brothers Enterprise
28/02/2026,Kuddus Nur's Heaven,5 ton Stone,Credit,5,4550,22770,,Stone Purchase,115254/17,SS Trading 
28/02/2026,Kuddus Nur's Heaven,Balu 200 ft,Credit,,,4600,,Sand Purchase,,Bismillah Suppliers
05/03/2026,Kuddus Nur's Heaven,5 ton Stone,Credit,5,4550,23010,,Stone Purchase,117525,SS Trading 
06/03/2026,Kuddus Nur's Heaven,Carrying Cost ,Credit,3,1500,4500,,Transportation/Carrying Cost,,KAJI MOHAMMAD
06/03/2026,Kuddus Nur's Heaven,Holegen Light 1200x2=2400 + 1600 = 4000  + 50ft wire 25 taka 50X25 = 1250 + logistic ,Credit,,,5300,,"Utilities (Electricity, Internet)",,
06/03/2026,Kuddus Nur's Heaven,Holegin light fitting + extra 2pin charge,Credit,,,570,,"Utilities (Electricity, Internet)",,
10/03/2026,Kuddus Nur's Heaven,20MM Rod Cutpis 506.20 KG with Labour Cost & driver cost,Credit,506.2,90,46300,,Steel/Rod Purchase,1678,T S IRON MART
16/03/2026,Kuddus Nur's Heaven,balu + balu loding 4300 ,Credit,,,4600,,Sand Purchase,,Bismillah Suppliers
16/03/2026,Kuddus Nur's Heaven,50 bag Cement,Credit,,,24000,,Cement Purchase,,Bismillah Suppliers
16/03/2026,Kuddus Nur's Heaven,CC TV new Purchase 40m+2.5MM camera with labour Cost ,Credit,,,3700,,"Utilities (Electricity, Internet)",,
16/03/2026,Kuddus Nur's Heaven,Arshadul Bouns and extra 500,Credit,,,5000,,Bonus,,
17/03/2026,Kuddus Nur's Heaven,100ft aggregrate with delivery charge,Credit,100,,9710,,Aggregate Purchase,,
17/03/2026,Kuddus Nur's Heaven,"Stone 5 Ton, 3/4 bolder dubai stone, carring Cost soho 23000+2000",Credit,5,,25000,,Stone Purchase,"STONE ZONE Soltgola Mor theke , 4220",STONE ZONE
